actor_2_name,actor_2_name,proportion
Bill Cobbs,4,0.10649627263045794
Bill Duke,4,0.10649627263045794
Bill Fagerbakke,1,0.026624068157614485
Bill Lake,1,0.026624068157614485
Bill Maher,1,0.026624068157614485
Bill Martone,1,0.026624068157614485
Bill Murray,6,0.1597444089456869
Bill Paterson,1,0.026624068157614485
Billy Blair,1,0.026624068157614485
Billy Boyd,2,0.05324813631522897
Billy Brown,1,0.026624068157614485
Billy Burke,3,0.07987220447284345
Billy Crudup,1,0.026624068157614485
Billy Drago,1,0.026624068157614485
Billy Gardell,1,0.026624068157614485
Billy Gilbert,1,0.026624068157614485
Billy West,1,0.026624068157614485
Bin Won,1,0.026624068157614485
Birgitte Hjort Sørensen,1,0.026624068157614485
Blythe Danner,6,0.1597444089456869
Bob Balaban,1,0.026624068157614485
Bob Clendenin,1,0.026624068157614485
Bob Gunton,4,0.10649627263045794
Bob Hoskins,4,0.10649627263045794
Bob Saget,1,0.026624068157614485
Bobb'e J. Thompson,1,0.026624068157614485
Bobby Batson,1,0.026624068157614485
Bobby Coleman,1,0.026624068157614485
Bobby Moynihan,1,0.026624068157614485
Bokeem Woodbine,2,0.05324813631522897
Boris Kodjoe,2,0.05324813631522897
Boyd Holbrook,1,0.026624068157614485
Brad Garrett,2,0.05324813631522897
Brad Pitt,14,0.3727369542066028
Brad Renfro,1,0.026624068157614485
Brad William Henke,1,0.026624068157614485
Bradley Cooper,4,0.10649627263045794
Bradley Pierce,1,0.026624068157614485
Bradley Whitford,3,0.07987220447284345
Brandon Molale,1,0.026624068157614485
Brandon Smith,1,0.026624068157614485
Brandy Norwood,1,0.026624068157614485
Brenda Bakke,1,0.026624068157614485
Brenda Blethyn,3,0.07987220447284345
Brendan Fehr,1,0.026624068157614485
Brendan Fraser,5,0.13312034078807242
Brendan Sexton III,2,0.05324813631522897
Brendon Eggertsen,1,0.026624068157614485
Brett Cullen,1,0.026624068157614485
Brian Anthony Wilson,1,0.026624068157614485
Brian Blessed,2,0.05324813631522897
Brian Dennehy,1,0.026624068157614485
Brian Doyle-Murray,2,0.05324813631522897
Brian Geraghty,1,0.026624068157614485
Brian Herzlinger,1,0.026624068157614485
Brian Howe,1,0.026624068157614485
Brian Johnson,1,0.026624068157614485
Brian O'Halloran,1,0.026624068157614485
Brian Thompson,2,0.05324813631522897
Brian Van Holt,2,0.05324813631522897
Bridget Fonda,5,0.13312034078807242
Bridgette Wilson-Sampras,1,0.026624068157614485
Bridgit Mendler,1,0.026624068157614485
Brighton Sharbino,1,0.026624068157614485
Brittany Daniel,1,0.026624068157614485
Bronagh Gallagher,1,0.026624068157614485
Brooke Shields,2,0.05324813631522897
Brooke Smith,1,0.026624068157614485
Brooklynn Proulx,1,0.026624068157614485
Bruce Altman,1,0.026624068157614485
Bruce Boxleitner,1,0.026624068157614485
Bruce Davison,1,0.026624068157614485
Bruce Dern,4,0.10649627263045794
Bruce Greenwood,6,0.1597444089456869
Bruce McGill,6,0.1597444089456869
Bruce Spence,2,0.05324813631522897
Bruce Willis,9,0.23961661341853036
Bruno Ganz,1,0.026624068157614485
Bryan Brown,1,0.026624068157614485
Bryce Dallas Howard,2,0.05324813631522897
Brían F. O'Byrne,3,0.07987220447284345
Bubba Smith,1,0.026624068157614485
Bud Cort,2,0.05324813631522897
Burgess Meredith,1,0.026624068157614485
Burghart Klaußner,1,0.026624068157614485
Burt Kwouk,1,0.026624068157614485
Burt Young,3,0.07987220447284345
Busy Philipps,1,0.026624068157614485
Buzz Aldrin,1,0.026624068157614485
Béatrice Dalle,1,0.026624068157614485
CCH Pounder,1,0.026624068157614485
Caity Lotz,1,0.026624068157614485
Caleb Landry Jones,1,0.026624068157614485
Callie Thorne,1,0.026624068157614485
Callum Blue,1,0.026624068157614485
Callum Rennie,3,0.07987220447284345
Cam Clarke,1,0.026624068157614485
Cameron Boyce,1,0.026624068157614485
Cameron Bright,3,0.07987220447284345
