genres,genres,proportion
Animation|Comedy|Family|Fantasy,5,0.13312034078807242
Animation|Comedy|Family|Fantasy|Music,2,0.05324813631522897
Animation|Comedy|Family|Fantasy|Musical,2,0.05324813631522897
Animation|Comedy|Family|Fantasy|Musical|Romance,1,0.026624068157614485
Animation|Comedy|Family|Fantasy|Mystery,1,0.026624068157614485
Animation|Comedy|Family|Fantasy|Sci-Fi,1,0.026624068157614485
Animation|Comedy|Family|Horror|Sci-Fi,1,0.026624068157614485
Animation|Comedy|Family|Musical,1,0.026624068157614485
Animation|Comedy|Family|Music|Romance,1,0.026624068157614485
Animation|Comedy|Family|Music|Western,1,0.026624068157614485
Animation|Comedy|Family|Mystery|Sci-Fi,2,0.05324813631522897
Animation|Comedy|Family|Sci-Fi,2,0.05324813631522897
Animation|Comedy|Family|Sport,1,0.026624068157614485
Animation|Comedy|Fantasy,1,0.026624068157614485
Animation|Comedy|Fantasy|Musical,1,0.026624068157614485
Animation|Drama|Family|Fantasy,1,0.026624068157614485
Animation|Drama|Family|Fantasy|Musical|Romance,1,0.026624068157614485
Animation|Drama|Family|Musical|Romance,1,0.026624068157614485
Animation|Drama|Mystery|Sci-Fi|Thriller,1,0.026624068157614485
Animation|Family|Fantasy,1,0.026624068157614485
Animation|Family|Fantasy|Music,1,0.026624068157614485
Animation|Family|Fantasy|Musical,2,0.05324813631522897
Animation|Family|Fantasy|Musical|Romance,1,0.026624068157614485
Animation|Family|Fantasy|Mystery,1,0.026624068157614485
Biography|Comedy|Crime|Drama,3,0.07987220447284345
Biography|Comedy|Crime|Drama|Romance,1,0.026624068157614485
Biography|Comedy|Documentary,1,0.026624068157614485
Biography|Comedy|Drama,4,0.10649627263045794
Biography|Comedy|Drama|Family|Sport,1,0.026624068157614485
Biography|Comedy|Drama|History,3,0.07987220447284345
Biography|Comedy|Drama|History|Music,1,0.026624068157614485
Biography|Comedy|Drama|History|Music|Musical,1,0.026624068157614485
Biography|Comedy|Drama|Romance,2,0.05324813631522897
Biography|Comedy|Drama|Sport,2,0.05324813631522897
Biography|Comedy|Drama|War,1,0.026624068157614485
Biography|Comedy|Musical,1,0.026624068157614485
Biography|Comedy|Musical|Romance|Western,1,0.026624068157614485
Biography|Comedy|Romance,2,0.05324813631522897
Biography|Crime|Documentary|History,1,0.026624068157614485
Biography|Crime|Documentary|History|Thriller,1,0.026624068157614485
Biography|Crime|Drama,15,0.3993610223642172
