plot_keywords,plot_keywords,proportion
3d|antarctica|krill|penguin|sequel,1,0.026624068157614485
40 year old|car accident|cheating on girlfriend|collection|porno movie,1,0.026624068157614485
40th birthday|aging|birthday|sex|viagra,1,0.026624068157614485
50s|film within a film|hollywood|illegitimate pregnancy|twins,1,0.026624068157614485
5th century|boy|capri|roman legion|soldier,1,0.026624068157614485
70mm film|biblical epic|faith|jewish|king herod,1,0.026624068157614485
8 year old|convention|magic|magic wand|male fairy godmother,1,0.026624068157614485
9 year old|blood|gramophone|house|missing children,1,0.026624068157614485
9 year old|house|illinois|new job|vomiting,1,0.026624068157614485
911 operator|calling 911|die hard scenario|head held underwater|white villain,1,0.026624068157614485
a cappella|competition|dj|female protagonist|lesbian,1,0.026624068157614485
abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,1,0.026624068157614485
abandoned building|chernobyl disaster|exploration|tour guide|van,1,0.026624068157614485
abandoned building|detroit michigan|firefighter|michigan|urban setting,1,0.026624068157614485
abandoned hotel|dog|foster home|overalls|playing with a dog,1,0.026624068157614485
abandoned|depot|dwarf|newfoundland new jersey|train,1,0.026624068157614485
abbreviation in title|based on short film|competition dancing|dystopia|location in title,1,0.026624068157614485
abbreviation in title|reporter|small town|sudden wealth|unknowing heir,1,0.026624068157614485
abdication|china|emperor|forbidden city|republic,1,0.026624068157614485
abduction|alaska|alien|owl|patient,1,0.026624068157614485
abduction|martial law|military|new york city|terrorist,1,0.026624068157614485
able to see the dead|ghost|plot twist|psychic|surprise ending,1,0.026624068157614485
aborigine|australian|australian aborigine|australian outback|rancher,1,0.026624068157614485
aborigine|based on true story|colonialism|fence|half caste,1,0.026624068157614485
aborigine|foreboding|gang|hideout|outlaw,1,0.026624068157614485
abortion|abortion clinic|angel|church|clinic,1,0.026624068157614485
abortion|bus|hospital|prison|prostitution,1,0.026624068157614485
abraham|hunter|princess|sodom|tribe,1,0.026624068157614485
absent father|american football|based on true story|middle school,1,0.026624068157614485
absent father|big brother|community service|live action role playing|peter pan syndrome,1,0.026624068157614485
abstract|ark|disney|fairy tale|piano,1,0.026624068157614485
absurd humor|drug lord|mexico|ranch|spaghetti western,1,0.026624068157614485
absurd humor|egg|gross out humor|lesbian|sex,1,0.026624068157614485
abu dhabi|box office hit|muslim|nanny|united arab emirates,1,0.026624068157614485
abuse of power|friendship|prison|prison guard|title directed by female,1,0.026624068157614485
abuse|african american lesbian|lesbian|lesbian couple|school,2,0.05324813631522897
abuse|australia|concert|pianist|piano,1,0.026624068157614485
abuse|child|orphan|orphanage|pickpocket,1,0.026624068157614485
abusive boyfriend|bear|car accident|ranch|wyoming,1,0.026624068157614485
abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1,0.026624068157614485
abusive father|critically acclaimed|loss of father|love|true love,1,0.026624068157614485
abusive husband|alabama|boy|dream|sheriff,1,0.026624068157614485
abusive husband|chick flick|north carolina|secret|widower,1,0.026624068157614485
abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,1,0.026624068157614485
abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,1,0.026624068157614485
abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,1,0.026624068157614485
academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,1,0.026624068157614485
academy award|gay|high school|reporter|teacher,1,0.026624068157614485
accidental death|dead woman|dead woman with eyes open|death of mistress|manager,1,0.026624068157614485
accident|army|bomb|indian army|love,1,0.026624068157614485
accident|bar|chase|cia|laboratory,1,0.026624068157614485
accident|bus|loss of virginity|new york city|virginity,1,0.026624068157614485
accident|caretaker|economic hardship|quadriplegic|wheelchair,1,0.026624068157614485
accident|conspiracy|police|police officer|village,1,0.026624068157614485
accident|curtain call|dream girl|high school|prom,1,0.026624068157614485
accident|diary|ghost|psychic|veterinarian,1,0.026624068157614485
accident|faith|love|mathematician|nonlinear timeline,1,0.026624068157614485
accident|freak accident|race|snail|underdog,1,0.026624068157614485
accident|future|genetics|mission|police,1,0.026624068157614485
accountant|actor|animal in title|mail carrier|single parent,1,0.026624068157614485
accountant|blooper|espionage|facebook|high school reunion,1,0.026624068157614485
accountant|bounty hunter|fbi|mafia|mob,1,0.026624068157614485
accountant|finger gun|homosexual|killed in an elevator|painting,1,0.026624068157614485
accountant|loan shark|macabre|uncle|uncle fester,1,0.026624068157614485
accountant|money|opening night|scheme|swedish,1,0.026624068157614485
acid trip|gameshow|hot tub|time lord|time machine,1,0.026624068157614485
acorn|herd|iceberg|ocean|pirate,1,0.026624068157614485
acrophobia|jamaica|male bonding|prostitute|tragedy,1,0.026624068157614485
act of kindness|christmas|christmas eve|neighbor|vacation,1,0.026624068157614485
action figure|battle|computer|military|toy,1,0.026624068157614485
action figure|christmas|hero|karate|toy,1,0.026624068157614485
action figure|press conference|superhero|superhero team|toy,1,0.026624068157614485
action heroine|falling from height|mind control|trainhopping|truth serum,1,0.026624068157614485
action hero|assassination attempt|explosion|machine gun|rescue mission,1,0.026624068157614485
action hero|attempted rape|bond girl|official james bond series|revenge,1,0.026624068157614485
action hero|chinese|forced prostitution|one man army|title spoken by character,1,0.026624068157614485
action hero|cia|dark past|flashback|memory,1,0.026624068157614485
action hero|disguise|hospital|real estate agent|thief,1,0.026624068157614485
action hero|hero|magic|ticket|video store,1,0.026624068157614485
activist|amazon|color in title|rain|rain forest,1,0.026624068157614485
activist|assassin|civil rights|trial|widow,1,0.026624068157614485
activist|death|death row|murder|texas,1,0.026624068157614485
activist|detective|father daughter relationship|investigation|vigilantism,1,0.026624068157614485
activist|editor|journalist|newspaper|south africa,1,0.026624068157614485
activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,1,0.026624068157614485
actor director writer|invention|machine|music score composed by director|tramp,1,0.026624068157614485
actor name in title|colon in title|four word title|live performance|satire,1,0.026624068157614485
actor playing himself|battle|boots|penis|womb,1,0.026624068157614485
actor playing multiple roles|axe|dark comedy|masked man|sadism,1,0.026624068157614485
actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,1,0.026624068157614485
actor playing multiple roles|claw|gadget|inspector|police,1,0.026624068157614485
actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,1,0.026624068157614485
actor voicing multiple characters|box office hit|coffee|plate|robot,1,0.026624068157614485
actor's picture shown in credits|animated credits|google|internship|still images in end credits,1,0.026624068157614485
actor|actress|friend|love|reputation,1,0.026624068157614485
actor|african american|dream|two word title|written and directed by cast member,1,0.026624068157614485
actor|agent|beard|cannes|hollywood,1,0.026624068157614485
actor|anilingus|double cross|funeral home|two timing,1,0.026624068157614485
actor|arab stereotype|broadway|terrorist|vomiting,1,0.026624068157614485
actor|artist|broadway play|replacement|stage,1,0.026624068157614485
actor|aspiring actor|birth|misadventure|suitcase,1,0.026624068157614485
actor|audition|muse|playwright|theater,1,0.026624068157614485
actor|based on novel|fancy restaurant|male actor playing a female character|party,1,0.026624068157614485
actor|black panties|cult film|friend|upskirt,1,0.026624068157614485
actor|boredom|luxury hotel|party|trip,1,0.026624068157614485
actor|breasts|film actress|nosferatu|vampire,1,0.026624068157614485
actor|bus|march|million man march|religion,1,0.026624068157614485
actor|california|teacher|wine|writer,1,0.026624068157614485
actor|client|new york|protection|scandal,1,0.026624068157614485
actor|coma|movie star|paparazzi|revenge,1,0.026624068157614485
actor|conjoined twins|cook|internet|short order cook,1,0.026624068157614485
actor|detective sergeant|hotel|nightclub|thief,1,0.026624068157614485
actor|doctor|drugs|home|pain,1,0.026624068157614485
actor|dream sequence|genius recluse|jew|religion,1,0.026624068157614485
actor|friend|male frontal nudity|male full frontal nudity|penis,1,0.026624068157614485
actor|internet|make up|publicist|purim,1,0.026624068157614485
actor|love|movie star|press|publicist,1,0.026624068157614485
actor|minstrel show|protest|success|writer,1,0.026624068157614485
actress name in title|crush|date|four word title|video camera,1,0.026624068157614485
actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,1,0.026624068157614485
actress|argentina|military|politics|singer,1,0.026624068157614485
actress|assistant director|blonde bombshell|movie star|wardrobe,1,0.026624068157614485
actress|bodyguard|new york city|play|playwright,1,0.026624068157614485
actress|bookstore|friend|kiss|love,1,0.026624068157614485
actress|bordeaux|german|heavy water|nazi,1,0.026624068157614485
actress|cancer|death|french|gay relationship,1,0.026624068157614485
actress|clown costume|magazine|party planner|soap opera actress,1,0.026624068157614485
actress|director|play|theatre director|warehouse,1,0.026624068157614485
actress|drive in|female protagonist|movie star|woman shot in the forehead,1,0.026624068157614485
actress|killer doll|murder|vixen|vomiting,1,0.026624068157614485
actress|lesbianism|manhattan new york city|urination|watching pornography,1,0.026624068157614485
actress|love|michigan|neighbor|writer,1,0.026624068157614485
actress|neighbor|phone sex|queens new york city|sex addiction,1,0.026624068157614485
actual animal killed|cult|evil sorcerer|gladiator|warlord,2,0.05324813631522897
actual animal killed|death|jason voorhees|slasher flick|teen horror,1,0.026624068157614485
addiction|alcoholic|baseball|car accident|reference to god,1,0.026624068157614485
addiction|diet pill|drug addiction|fast motion scene|heroin,1,0.026624068157614485
adidas|chipmunk|hospital|school|waste container,1,0.026624068157614485
admiral|captain|manhunt|mission|space,1,0.026624068157614485
adopted son|adoption|boy|mars the planet|widower,1,0.026624068157614485
adoption|armpit fetish|mistaken identity|new mexico|overalls,1,0.026624068157614485
adoption|baby|friend|pregnancy|school,2,0.05324813631522897
adoption|baby|girl|lawyer|sex,1,0.026624068157614485
adoption|divorce|family relationships|farce|wedding,1,0.026624068157614485
adoption|female protagonist|princeton university|wedding|working women,1,0.026624068157614485
adoption|highway travel|road trip|sequel|stupidity,1,0.026624068157614485
adult as child|father son relationship|high school student|janitor|school,1,0.026624068157614485
adult child friendship|corrupt cop|fistfight|gangster|thug,1,0.026624068157614485
adult diaper|diaper|digit in title|dream|sawed off shotgun,1,0.026624068157614485
adult humor|best friend|friend|halloween|teenage girl,1,0.026624068157614485
