actor_1_name,actor_1_name,proportion
Angelina Jolie Pitt,15,0.3993610223642172
Angell Conwell,1,0.026624068157614485
Angie Dickinson,1,0.026624068157614485
Angus Scrimm,1,0.026624068157614485
Angus T. Jones,1,0.026624068157614485
Anika Noni Rose,1,0.026624068157614485
Anil Kapoor,1,0.026624068157614485
Anita Page,1,0.026624068157614485
Anjelica Huston,6,0.1597444089456869
Anna Friel,1,0.026624068157614485
Anna Kendrick,6,0.1597444089456869
Annabella Sciorra,2,0.05324813631522897
Anne Hathaway,9,0.23961661341853036
Anthony Hopkins,18,0.4792332268370607
Antoni Corone,1,0.026624068157614485
Antony Starr,1,0.026624068157614485
Anwar Congo,1,0.026624068157614485
Archie Panjabi,4,0.10649627263045794
Ari Folman,1,0.026624068157614485
Ari Graynor,1,0.026624068157614485
Ariana Richards,2,0.05324813631522897
Arliss Howard,1,0.026624068157614485
Armando Riesco,2,0.05324813631522897
Armin Mueller-Stahl,1,0.026624068157614485
Art Hindle,1,0.026624068157614485
Ashley Rickards,1,0.026624068157614485
Ashley Williams,1,0.026624068157614485
Augustus Prew,1,0.026624068157614485
Aunjanue Ellis,1,0.026624068157614485
Austin Pendleton,1,0.026624068157614485
Ayelet Zurer,1,0.026624068157614485
Bahare Seddiqi,1,0.026624068157614485
Bai Ling,1,0.026624068157614485
Bailee Madison,2,0.05324813631522897
Bam Margera,2,0.05324813631522897
Barack Obama,1,0.026624068157614485
Barry Bostwick,1,0.026624068157614485
Barry Corbin,2,0.05324813631522897
Barry Watson,1,0.026624068157614485
Bashar Rahal,1,0.026624068157614485
Beau Bridges,1,0.026624068157614485
Beau Mirchoff,1,0.026624068157614485
Bebe Neuwirth,1,0.026624068157614485
Bella Thorne,4,0.10649627263045794
Belén Rueda,1,0.026624068157614485
Ben Davies,1,0.026624068157614485
Ben Feldman,2,0.05324813631522897
Ben Gazzara,2,0.05324813631522897
Benedict Cumberbatch,7,0.1863684771033014
Benjamin A. Onyango,1,0.026624068157614485
Benno Fürmann,1,0.026624068157614485
Bernie Casey,1,0.026624068157614485
Bernie Mac,9,0.23961661341853036
Beth Grant,2,0.05324813631522897
Betsy Palmer,1,0.026624068157614485
Beverly D'Angelo,1,0.026624068157614485
Bianca Kajlich,1,0.026624068157614485
Bill Bailey,1,0.026624068157614485
Bill Cobbs,4,0.10649627263045794
Bill Duke,2,0.05324813631522897
Bill Johnson,1,0.026624068157614485
Bill Maher,1,0.026624068157614485
Bill Murray,24,0.6389776357827476
Billy Burke,4,0.10649627263045794
Billy Campbell,1,0.026624068157614485
Billy Crudup,3,0.07987220447284345
Bingbing Li,2,0.05324813631522897
Bjørn Sundquist,1,0.026624068157614485
Blair Brown,1,0.026624068157614485
Blair Underwood,1,0.026624068157614485
Blanchard Ryan,1,0.026624068157614485
Blythe Danner,1,0.026624068157614485
Bob Balaban,1,0.026624068157614485
Bob Hoskins,6,0.1597444089456869
Bob Neill,1,0.026624068157614485
